Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Pernah_kunjung_perpustakaan,Perpustakaan_yang_dikunjung,Tujuan_perpustakaan _fizikal,Tujuan_perpustakaan_digital,Kekerapan_mengunjung,Ahli,Jarak_lokasi,Lokasi_strategik,Penting,Manfaat,Perlu_ada,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_bahanbacaan,Aktiviti,Tahap_promosi,Operasi,Tahap_perkhidmatan_waktu_perkhidmatan,Tahap_perkhidmatan_pinjam_pulang,Tahap_perkhidmatan_layanan_staff,Tahap_perkhidmatan_koleksi_dewasa,Tahap_perkhidmatan_koleksi_kanak,Tahap_perkhidmatan_koleksi_rujukan,Tahap_perkhidmatan_koleksi_akhbar,Tahap_perkhidmatan_koleksi_data,Tahap_perkhidmatan_koleksi_fotokopi,Tahap_perkhidmatan_koleksi_cetakan,Tahap_perkhidmatan_koleksi_galak_guna,Tahap_perkhidmatan_koleksi_perabot,Tahap_perkhidmatan_koleksi_kebersihan
2025/04/16 9:22:34 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,40,SPM/ Setara,Islam,Melayu,Berkahwin,"Lokasi perpustakaan tidak strategik;Waktu perkhidmatan tidak bersesuaian;Tiada kemudahan pengangkutan awam;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kekangan dari aspek masa lapang",Perpustakaan fizikal,Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku,Mencari maklumat dalam subjek khas / khusus,Jarang-jarang,Tidak,1-3 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Tidak,Neutral,tukar lokasi ke kawasan yg lebih padat penduduk,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 9:32:40 AM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,35,SPM/ Setara,Islam,Melayu,Berkahwin,Lokasi perpustakaan tidak strategik;Kekangan dari aspek masa lapang,,,,Tidak pernah,Tidak,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 9:49:09 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,21,Ijazah Sarjana Muda,Islam,Melayu,Bujang,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang;Bangunan tidak menarik;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",Perpustakaan digital,"Lain-lain (Sila nyatakan di ruangan ""Other"");tiada",Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Mencari maklumat dalam subjek khas / khusus;Menggunakan bahan-bahan elektronik,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 10:04:46 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,21,Ijazah Sarjana Muda,Islam,Melayu,Bujang,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lokasi perpustakaan tidak strategik;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang;Bangunan tidak menarik;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",Perpustakaan digital,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Mencari maklumat dalam subjek khas / khusus;Menggunakan bahan-bahan elektronik,Belajar atau menyelesaikan tugasan;Mencari maklumat dalam subjek khas / khusus;Menggunakan bahan-bahan elektronik,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 10:06:47 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,24,SPM/ Setara,Islam,Melayu,Bujang,Kekangan dari aspek masa lapang,Perpustakaan fizikal,Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Berjumpa kawan,,Kadang-kadang,Ya,4-5 km,Tidak,Tidak,Tidak,Ya,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan
2025/04/16 10:09:17 AM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,23,Sijil Kemahiran,Islam,Melayu,Bujang,"Kemudahan perpustakaan tidak selesa;Kemudahan yang disediakan di perpustakaan tidak mencukupi;Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lokasi perpustakaan tidak strategik;Waktu perkhidmatan tidak bersesuaian;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang;Bangunan tidak menarik;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",Perpustakaan digital,tiada,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Mencari maklumat dalam subjek khas / khusus,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 10:16:46 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,22,Ijazah Sarjana Muda,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik,Perpustakaan digital,Belajar atau menyelesaikan tugasan,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Mencari maklumat dalam subjek khas / khusus,Tidak pernah,Tidak,6-10 km,Tidak,Ya,Ya,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Tidak baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak memuaskan,Memuaskan,Baik,Baik,Baik
2025/04/16 10:17:51 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,40,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Pinjaman dan pemulangan buku,Pinjaman dan pemulangan buku,Kadang-kadang,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Tidak,Tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Memuaskan,Memuaskan
2025/04/16 10:26:41 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,22,Ijazah Sarjana Muda,Islam,Melayu,Bujang,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi)",,Berjumpa kawan,Membuat rujukan / penyelidikan;Mencari maklumat dalam subjek khas / khusus,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Neutral,Tidak,Tidak memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan
2025/04/16 11:22:35 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,36,Ijazah Sarjana Muda,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Berjumpa kawan;Membaca;Menggunakan bahan-bahan bercetak;Menggunakan bahan-bahan elektronik,Membaca,Sebulan sekali,Ya,4-5 km,Ya,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Tidak,Neutral,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 11:29:25 AM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,35,SPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,Menyertai aktiviti perpustakaan;,,Jarang-jarang,Ya,4-5 km,Tidak,Ya;Tidak,Tidak,Tidak,Ya,Perlu ditutup,internet,Ya,Baik,Tidak,Memuaskan,Baik,Sangat Baik,Baik,Baik,Memuaskan,Tidak memuaskan,Baik,Tidak memuaskan,Tidak memuaskan,Baik,Baik,Baik
2025/04/16 11:41:21 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,39,SPM/ Setara,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik;Kekangan dari aspek masa lapang,,,Membaca;Mencari maklumat dalam subjek khas / khusus,Tidak pernah,Tidak,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup;Tidak perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian;internet,Ya,Baik,Ya,Memuaskan,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 11:51:55 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,35,STPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Pinjaman dan pemulangan buku;Berjumpa kawan;Membaca,,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Baik,Tidak,Memuaskan,Baik,Sangat Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Baik,Memuaskan,Baik
2025/04/16 11:54:43 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,25,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,"Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing"";Mencari maklumat dalam subjek khas / khusus;Menggunakan bahan-bahan elektronik",,2 Minggu Sekali,Ya,6-10 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Neutral;Tidak baik,Ya,Baik,Sangat Baik,Sangat Baik,Baik,Sangat Baik,Baik,Memuaskan,Baik,Baik,Baik,Sangat Baik,Sangat Baik,Baik
2025/04/16 12:03:20 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,19,SPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Berjumpa kawan;Membaca,,Jarang-jarang,Ya,0-900 meter,Tidak,Ya,Tidak,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak memuaskan,Tidak memuaskan,Baik,Baik,Baik
2025/04/16 12:28:13 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,32,SPM/ Setara,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku,Membuat rujukan / penyelidikan,Kadang-kadang,Ya,6-10 km,Tidak,Ya,Tidak,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Baik,Baik,Sangat Baik,Baik,Baik,Baik,Memuaskan,Baik,Tidak memuaskan,Tidak memuaskan,Baik,Memuaskan,Baik
2025/04/16 12:33:53 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,37,SPM/ Setara,Islam,Melayu,Berkahwin,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Berjumpa kawan,Membaca,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 12:34:46 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,41,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Membaca,Membuat rujukan / penyelidikan,Jarang-jarang,Ya,1-3 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 12:37:04 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,1997,SPM/ Setara,Islam,Melayu,Berkahwin,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Belajar atau menyelesaikan tugasan,"Menggunakan kemudahan perpustakaan;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing""",Jarang-jarang,Ya,4-5 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Ya,Baik,Baik,Sangat Baik,Baik,Baik,Sangat Baik,Sangat Baik,Sangat Baik,Baik,Baik,Sangat Baik,Memuaskan,Sangat Baik
2025/04/16 12:38:50 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,27,Sijil Kemahiran,Islam,Melayu,Bujang,tidak pernah,,,,Tidak pernah,Tidak,10 km ke atas,Tidak,Tidak,Tidak,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
