Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Pernah_kunjung_perpustakaan,Perpustakaan_yang_dikunjung,Tujuan_perpustakaan _fizikal,Tujuan_perpustakaan_digital,Kekerapan_mengunjung,Ahli,Jarak_lokasi,Lokasi_strategik,Penting,Manfaat,Perlu_ada,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_bahanbacaan,Aktiviti,Tahap_promosi,Operasi,Tahap_perkhidmatan_waktu_perkhidmatan,Tahap_perkhidmatan_pinjam_pulang,Tahap_perkhidmatan_layanan_staff,Tahap_perkhidmatan_koleksi_dewasa,Tahap_perkhidmatan_koleksi_kanak,Tahap_perkhidmatan_koleksi_rujukan,Tahap_perkhidmatan_koleksi_akhbar,Tahap_perkhidmatan_koleksi_data,Tahap_perkhidmatan_koleksi_fotokopi,Tahap_perkhidmatan_koleksi_cetakan,Tahap_perkhidmatan_koleksi_galak_guna,Tahap_perkhidmatan_koleksi_perabot,Tahap_perkhidmatan_koleksi_kebersihan
2025/04/16 12:39:24 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,23,Ijazah Sarjana Muda,Islam,Melayu,Bujang,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",Perpustakaan fizikal;Perpustakaan digital,"Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;""Healing"";Mencari maklumat dalam subjek khas / khusus","Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing"";Mencari maklumat dalam subjek khas / khusus",Jarang-jarang,Ya,4-5 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 12:43:20 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,29,STPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,Membuat rujukan / penyelidikan;Membaca,Membaca,Kadang-kadang,Tidak,1-3 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Memuaskan,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik,Tidak memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 12:45:23 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,52,SPM/ Setara,Islam,Melayu,Berkahwin,Kurangnya promosi dari pihak perpustakaan,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Membuat rujukan / penyelidikan;Membaca;Mencari maklumat dalam subjek khas / khusus,Membuat rujukan / penyelidikan,2 Minggu Sekali,Ya,4-5 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Sumber dalam talian,Tidak,Neutral,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 12:46:30 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,25,SPM/ Setara,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik;Kekangan dari aspek masa lapang;Bangunan tidak menarik,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan,Menggunakan kemudahan perpustakaan,Kadang-kadang,Ya,10 km ke atas,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik
2025/04/16 12:48:51 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,41,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Membaca,,Kadang-kadang,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 12:53:25 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,38,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Pinjaman dan pemulangan buku;Membaca,,Kadang-kadang,Ya,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Neutral,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 1:05:16 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,25,Sijil Kemahiran,Islam,Melayu,Bujang,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Waktu perkhidmatan tidak bersesuaian;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi)",Perpustakaan digital,"Membuat rujukan / penyelidikan;Lain-lain (Sila nyatakan di ruangan ""Other"")",Membuat rujukan / penyelidikan,Tidak pernah,Tidak,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 1:17:24 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,39,SPM/ Setara,Islam,Melayu,Berkahwin,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang;Bangunan tidak menarik",,tiada,tiada,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian;Tidak akan mencari bahan lain,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 1:23:48 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,38 tahun,SRP/PMR/PT3,Islam,Melayu,Berkahwin,Kemudahan perpustakaan tidak selesa;Kemudahan yang disediakan di perpustakaan tidak mencukupi;Lokasi perpustakaan tidak strategik;Kurangnya promosi dari pihak perpustakaan;Bangunan tidak menarik;Kakitangan tidak mesra pengguna,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Mencari maklumat dalam subjek khas / khusus,,2 Minggu Sekali,Ya,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Tidak,Tidak baik,Tidak,Memuaskan,Memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 1:29:22 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,24,SPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,Membaca;,,Jarang-jarang,Ya,1-3 km,Tidak,Ya,Tidak,Tidak,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak memuaskan,Tidak memuaskan,Baik,Memuaskan,Baik
2025/04/16 1:51:55 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,17,SPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,"Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Berjumpa kawan;""Healing"";Menggunakan bahan-bahan elektronik","Menggunakan kemudahan perpustakaan;Berjumpa kawan;""Healing"";Membaca",Setiap Minggu,Tidak,0-900 meter,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Tidak akan mencari bahan lain,Ya,Sangat baik,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 2:36:58 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,34,SPM/ Setara,Islam,Melayu,Berkahwin,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang",,"Lain-lain (Sila nyatakan di ruangan ""Other"");tiada sebab","Lain-lain (Sila nyatakan di ruangan ""Other"");tiada sebab",Tidak pernah,Tidak,6-10 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 2:41:32 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,32,SPM/ Setara,Islam,Melayu,Bujang,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kekangan dari aspek masa lapang;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Membuat rujukan / penyelidikan;Menggunakan bahan-bahan elektronik,Jarang-jarang,Tidak,4-5 km,Ya,Ya,Ya,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Sangat tidak baik,Tidak,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan
2025/04/16 3:22:05 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,42,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Pinjaman dan pemulangan buku,"Lain-lain (Sila nyatakan di ruangan ""Other"");tiada",Jarang-jarang,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan
2025/04/16 3:28:41 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,39,SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal;Perpustakaan digital,"Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Berjumpa kawan;""Healing"";Membaca","Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;""Healing"";Membaca",Sebulan sekali,Ya,0-900 meter,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/16 4:28:09 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,31,Ijazah Sarjana Muda,Islam,Melayu,Berkahwin,Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lokasi perpustakaan tidak strategik;Kurangnya promosi dari pihak perpustakaan;Bangunan tidak menarik,Perpustakaan fizikal;Perpustakaan digital,Pinjaman dan pemulangan buku;Membuat rujukan / penyelidikan;Membaca,Menggunakan kemudahan perpustakaan;Belajar atau menyelesaikan tugasan;Membaca,Sebulan sekali,Ya,1-3 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Tidak,Sangat tidak baik,Ya,Tidak memuaskan,Memuaskan,Sangat Baik,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Tidak memuaskan,Tidak memuaskan,Memuaskan,Tidak memuaskan,Baik
2025/04/16 4:43:48 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,37,SPM/ Setara,Islam,Melayu,Bujang,,Perpustakaan fizikal,Membaca;,,Kadang-kadang;Tidak pernah,Ya,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak memuaskan,Tidak memuaskan,Baik,Memuaskan,Baik
2025/04/16 5:40:36 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,29,STPM/ Setara,Islam,Melayu,Bujang,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi)",,,,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 5:42:21 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,25,Ijazah Sarjana Muda,Islam,Melayu,Bujang,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kekangan dari aspek masa lapang;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",,,,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/16 5:44:13 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,45,SPM/ Setara,Islam,Melayu,Berkahwin,"Waktu perkhidmatan tidak bersesuaian;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang;Bangunan tidak menarik;Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan",,,,Tidak pernah,Tidak,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/17 1:06:01 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,35,SPM/ Setara,Islam,Melayu,Berkahwin,"Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kekangan dari aspek masa lapang",,,,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/17 1:07:05 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,28,STPM/ Setara,Islam,Melayu,Bujang,"Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik;Lokasi perpustakaan tidak strategik;Lebih berminat mendapatkan maklumat dari sumber lain (internet, FB, Instagram, Tik Tok, televisyen dan lain-lain lagi);Kurangnya promosi dari pihak perpustakaan;Kekangan dari aspek masa lapang",,,,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
2025/04/18 12:23:01 AM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,47,SPM/ Setara,Islam,Melayu,Berkahwin,,,,,Tidak pernah,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Tidak,Sangat tidak baik,Tidak,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan,Tidak memuaskan
